Id_factura,Id_socio,Fecha,Monto,Metodo_pago,Estado
1,3005,2022-01-19 09:56:56,379.21,Tarjeta de Débito,Pendiente
2,2770,2023-10-23 15:00:56,393.61,Tarjeta de Crédito,Pagada
3,6094,2023-06-29 12:47:40,666.65,Tarjeta de Crédito,Pagada
4,5287,2024-07-01 16:54:06,112.58,Tarjeta de Débito,Pagada
5,103,2023-12-07 15:15:02,26.23,Tarjeta de Débito,Pagada
6,3802,2023-06-27 12:12:24,219.32,Tarjeta de Débito,Pagada
7,7705,2025-10-16 12:54:23,66.4,Tarjeta de Crédito,Pagada
8,6029,2025-04-13 15:35:26,709.71,Tarjeta de Crédito,Atrasada
9,765,2024-06-01 13:54:25,469.28,Tarjeta de Crédito,Pagada
10,6737,2024-01-23 16:45:23,116.0,Efectivo,Pagada
11,5931,2022-07-25 08:47:56,86.43,Tarjeta de Crédito,Pagada
12,8385,2025-03-10 13:47:03,754.98,Tarjeta de Crédito,Pagada
13,8522,2023-05-19 17:22:02,481.27,Tarjeta de Débito,Pagada
14,2788,2023-05-24 13:22:49,332.54,Tarjeta de Crédito,Pagada
15,9329,2024-03-23 08:45:18,121.28,Tarjeta de Débito,Pagada
16,5188,2021-05-30 16:45:46,543.67,Tarjeta de Crédito,Pendiente
17,6677,2023-05-28 16:45:34,796.54,Tarjeta de Crédito,Pendiente
18,1860,2021-05-14 16:56:56,117.42,Tarjeta de Crédito,Pagada
19,266,2021-10-30 12:21:15,241.41,Tarjeta de Débito,Pendiente
20,9706,2022-05-13 13:35:36,674.12,Efectivo,Pagada
21,5203,2025-01-05 15:03:51,636.14,Efectivo,Pagada
22,6940,2020-11-24 14:00:11,263.29,Tarjeta de Débito,Pendiente
23,9390,2022-03-26 10:00:40,703.16,Tarjeta de Crédito,Pagada
24,6880,2022-04-24 16:54:44,299.49,Tarjeta de Débito,Pagada
25,1991,2025-04-15 08:15:29,727.64,Tarjeta de Débito,Pagada
26,295,2021-12-23 17:15:37,296.43,Tarjeta de Débito,Atrasada
27,2904,2024-04-18 17:47:44,36.83,Efectivo,Pagada
28,8750,2024-08-16 13:03:52,244.2,Tarjeta de Crédito,Pendiente
29,8957,2024-03-19 14:21:13,85.46,Tarjeta de Crédito,Pendiente
30,513,2022-01-08 11:03:52,82.39,Tarjeta de Débito,Pagada
31,2422,2024-03-27 09:04:32,207.93,Tarjeta de Crédito,Pagada
32,3873,2020-12-25 14:22:27,94.42,Tarjeta de Débito,Pagada
33,6922,2021-01-11 16:22:57,140.76,Efectivo,Pagada
34,4494,2021-12-31 12:15:55,407.69,Tarjeta de Crédito,Pagada
35,6216,2022-02-13 09:35:57,325.78,Efectivo,Pagada
36,4066,2021-01-02 17:04:54,783.31,Tarjeta de Débito,Pagada
