Id_reserva,Fecha_reserva,Id_socio,Id_clase
1,2023-11-18 12:30:06,7538,4213
2,2021-02-13 09:15:25,8937,4021
3,2023-06-24 08:15:52,2318,3917
4,2023-08-13 16:00:50,2773,8706
5,2022-05-29 12:30:49,3344,1352
6,2024-04-25 16:30:31,7172,5967
7,2021-08-11 08:30:18,7312,3363
8,2025-04-15 10:30:48,9186,4446
9,2022-03-29 12:30:33,566,8138
10,2021-11-28 10:15:49,1281,8068
11,2025-05-15 17:00:16,694,1776
12,2024-06-15 10:00:39,4922,7905
13,2022-09-11 13:30:54,2416,73
14,2024-08-19 17:00:41,8057,7397
15,2025-03-13 16:15:24,3301,7595
16,2023-04-07 13:00:09,3648,5450
17,2022-10-30 16:15:12,8075,2198
18,2023-08-02 12:00:20,8190,719
19,2023-05-24 11:30:05,5285,91
20,2025-03-04 09:15:26,1560,1959
21,2024-08-25 13:15:31,3823,9503
22,2024-03-07 10:00:06,7158,320
23,2022-01-23 09:30:48,355,4870
24,2024-04-01 13:00:16,4168,5733
25,2022-07-13 20:45:42,2208,3344
26,2023-05-29 10:15:53,2593,6358
27,2024-06-26 06:00:28,3919,1868
28,2021-08-14 07:00:37,4651,6063
29,2025-01-29 07:15:23,4357,9197
30,2021-04-10 11:45:41,4774,7161
31,2023-06-07 08:30:20,3807,7257
32,2021-05-07 15:00:03,3777,135
33,2023-05-25 09:00:42,3577,5204
34,2024-12-19 10:15:29,1081,6093
35,2022-01-15 17:45:45,6418,9956
36,2024-12-19 19:15:48,5416,4652
37,2021-02-05 06:15:25,3048,4854
38,2025-01-05 07:45:57,2593,3759
39,2022-02-20 06:15:50,7492,1432
40,2021-08-28 14:15:06,540,621
41,2021-05-28 10:15:17,5766,425
42,2024-04-23 11:30:55,9935,1528
43,2022-01-11 11:45:45,3544,8699
44,2022-03-23 14:30:21,1303,4450
45,2025-08-10 13:00:34,8293,5518
46,2024-11-28 19:00:24,9850,7865
47,2025-05-29 09:15:19,4263,4692
48,2025-03-30 13:15:35,2186,8437
49,2022-09-10 16:30:23,8967,2817
50,2022-10-27 18:15:29,1221,5516
51,2022-12-17 10:45:07,1477,8533
52,2024-09-27 17:00:11,1817,7632
53,2023-04-20 21:00:44,3707,870
54,2021-04-10 17:30:16,5748,9247
55,2021-10-23 15:00:25,4712,6130
56,2022-12-03 09:15:20,9061,1721
57,2024-07-27 15:30:21,4247,2414
58,2025-07-08 11:00:15,4668,326
